run_id,canonical,job_id,matched_alias,evidence_text,evidence_field,start_char,end_char,title,description_excerpt,source,country,expected_skills,false_positive,reviewer_notes
75,Machine Learning,1011,Machine Learning,Machine Learning,title,0,16,Machine Learning Researcher - Engineer Foundational Models H/F,About Pathway At Pathway we are shaking the foundations of artificial intelligence by introducing the world's first post-transformer model that adapts and thinks just like humans. Our breakthrough architecture outperforms Transformer and provides the enterprise with full visibility into how the model works. Combining t,adzuna,fr,,,
75,Machine Learning,1013,Machine Learning,Machine Learning,title,20,36,AI & Data Engineer (Machine Learning) H/F,"Entity description: At Digital & IT, we harness the power of the latest technological advances and our history of industrial excellence to foster innovation and enable Air Liquide’s talents to thrive. How will you CONTRIBUTE and GROW at Air Liquide? Au sein de Data & AI Applications, le Chapitre Engineering est une équ",adzuna,fr,,,
75,Python,136,Python,Python,title,15,21,Data Scientist Python Senior - Freelance,"Description du poste Une entreprise de la grande distribution recherche un Data Scientist Python Senior pour rejoindre une équipe dédiée à la digitalisation de son processus promotionnel, à travers le développement d'agents d'IA capables d'optimiser les catalogues promotionnels et de générer des appels d'offres. Au pro",adzuna,fr,,,
75,Python,404,Python,Python,title,53,59,"Data Scientist BI / Data Engineer expérimenté Nantes Python, PySpark, SQL, Power BI, DAX/ben (IT)","Data Scientist BI / Data Engineer expérimenté Nantes Python, PySpark, SQL, Power BI, DAX, API, Git, Azure, Azure Data Factory, Databricks, DataGalaxy, Jira, Confluence 3 ans Nantes Python, PySpark, SQL, Power BI, DAX, API, Git, Azure, Azure Data Factory, Databricks, DataGalaxy, Jira, Confluence Mission de Data Scientis",adzuna,fr,,,
75,Python,434,Python,Python,title,22,28,Ingénieur Développeur Python - Machine Learning Expérimenté H/F,"Votre rôle En tant qu'Ingénieur Développeur Python / Machine Learning Expérimenté F/H, vous jouez un rôle clé dans l'industrialisation, l'optimisation et l'automatisation des solutions d'intelligence artificielle de bout en bout. En lien étroit avec les équipes techniques et fonctionnelles, votre rôle fait le pont entr",adzuna,fr,,,
75,Python,443,Python,Python,title,23,29,Concepteur Developpeur Python Confirme H/F,"Informations générales Entité de rattachement Le groupe CNP Assurances est un acteur de référence de l'assurance de personnes (vie, retraite, emprunteur, prévoyance, santé, services de qualité, ...), en France, en Europe et en Amérique Latine. En quelques chiffres, CNP Assurances réalise un chiffre d'affaires de 36 mil",adzuna,fr,,,
75,Python,463,Python,Python,description,119,125,Lead Data Engineer - HealthTech / IA,"Missions & Environnement Tech - Construire / optimiser le datalake (standardisation, qualité, sécurité, gouvernance) - Python Cloud public. - Développer des pipelines ETL automatisés pour ingérer, nettoyer et transformer des données physiologiques complexes - Airflow / orchestration. - Fournir aux Data Scientists des d",adzuna,fr,,,
75,Python,540,Python,Python,title,43,49,Leader Technique IA - Génération IA Java - Python H/F,"En tant que Leader Technique IA / Génération IA, vous serez le référent technique sur des projets à forte valeur ajoutée intégrant des solutions d'Intelligence Artificielle et de Génération IA (GenAI). Vous interviendrez sur des architectures modernes et des stacks technlogiques variées : * Java (Spring Boot, Quarkus) ",adzuna,fr,,,
75,Python,557,Python,Python,description,65,71,Senior Software Engineer / DevOps,"Profil recherché : - Senior (7 ans d'expérience) - Développement Python Azure Cloud - DevOps / DevSecOps : CI/CD (GitHub Actions), Docker, Kubernetes / K3s, Helm - Bonne maîtrise de Linux et des architectures micro-services distribuées - Un plus : Edge AI (Machine Learning, Computer Vision, Agentic AI), C/C++/Rust, GPU",adzuna,fr,,,
75,Python,561,Python,PYTHON,title,12,18,DEVELOPPEUR PYTHON - Lyon (H/F) - CDI,"Description du poste Salaire: 50000 MISSIONS Au sein d'une équipe composée de 5 développeurs, 1 Data Scientist, 1 Delivery Manager, 1 Data Engineer, vous participez au développement d'une stack technique permettant d'opérer des réseaux radio du groupe. Les outils développés sont destinés à des ingénieurs dont le domain",adzuna,fr,,,
75,Python,708,Python,Python,description,65,71,Senior Software Engineer - DevOps H/F,"Profil recherché : - Senior (7 ans d'expérience) - Développement Python Azure Cloud - DevOps / DevSecOps : CI/CD (GitHub Actions), Docker, Kubernetes / K3s, Helm - Bonne maîtrise de Linux et des architectures micro-services distribuées - Un plus : Edge AI (Machine Learning, Computer Vision, Agentic AI), C/C++/Rust, GPU",adzuna,fr,,,
75,Python,748,Python,Python,title,14,20,Data Engineer Python Senior (H/F) (IT),"Rejoignez une grande structure du secteur de la distribution et du retail, où la data et les capacités analytiques sont au c?ur de la transformation stratégique du groupe. Vous intégrez l'Analytics Factory, un centre d'excellence directement rattaché à la direction générale, pilotant la modernisation des processus anal",adzuna,fr,,,
