run_id,job_id,title,description_excerpt,source,country,expected_skills,missed_skill,ontology_gap,reviewer_notes
75,304,Economiste / Data Scientist infrastructures de marchés (H/F),"Type de recrutement : ‎ Stage ‎ Domaine de compétences : Économie et statistique ‎ Ville : Paris ‎ Département : Paris ‎ Description du poste: ‎ Présentation de la direction générale et du service Vous rejoindrez la Direction générale de la Stabilité financière et des Opérations (DGSO), qui assure la mise en œuvre opér",adzuna,fr,,,,
75,327,Ingénieur(e) Data Scientist confirmé(e) - Industrie - Toulouse,"En tant qu'organisateur de forums de recrutement, Talents Handicap accompagne de très nombreuses entreprises & organisations en France dans leurs recrutements de collaborateurs en situation de handicap. Participant actuellement à l'un de nos forums. L'entreprise CS GROUP recherche actuellement des profils : Description",adzuna,fr,,,,
75,332,Alternance - Assistant data engineer / data scientist (H/F),"Description La Fédération Française de Rugby (FFR) recherche un assistant data engineer/data scientist (H/F) en contrat d’alternance uniquement au sein de sa direction SI, data et digital. Le poste est à pourvoir, idéalement, dès septembre 2026 et pour une durée de 12 mois, au Centre National de Rugby, à Linas-Marcouss",adzuna,fr,,,,
75,351,Ingénieur études / data scientist en observation de la terre et climat - h/f,"Description entreprise : CLS, filiale du CNES et de la CNP, est une société à mission internationale, pionnière dans la fourniture de solutions d'observation et de surveillance de la Terre depuis 1986. Sa vision est d'imaginer et de déployer des solutions innovantes pour comprendre, protéger notre Planète et gérer dura",adzuna,fr,,,,
75,371,Data Scientist Senior - Pricing et Revenue Management (F/H),"Pour l'un de nos clients majeurs du Retail, nous recherchons un(e) Data Scientist Senior. Votre mission ? Transformer des volumes massifs de données en modèles prédictifs et décisionnels de pointe pour piloter les stratégies de tarification, de recommandation et de Revenue Management. Vos missions : Allier rigueur math",adzuna,fr,,,,
75,373,Data Scientist / Analyst - CDD 12 mois - Reims H/F,Description du poste Intitulé du poste Data Scientist / Analyst - CDD 12 mois - Reims H/F Description de la mission Envie de donner du sens à vos compétences ? Nous sommes là pour permettre au plus grand nombre de construire leur vie en confiance. Notre Groupe écrit l'aventure du mutualisme depuis plus de 120 ans et ac,adzuna,fr,,,,
75,446,Data Engineer H/F,"Description du poste et Missions Le groupe Télégramme, qui sommes-nous ? Monter à bord du groupe Télégramme, c'est prendre part à une grande aventure de plus de 80 ans ! Avec plus de 1 200 collaborateurs, le groupe Télégramme est aujourd'hui organisé autour de trois branches d'activités : Médias et Communication, Emplo",adzuna,fr,,,,
75,539,Medical Data & Insights Consultant,"Quinten Health is recruiting a Medical Data and Insights Consultant to join the Healthcare team, working in close collaboration with Data Scientists, Biostatisticians, and Project Managers. You will be supported by two senior medical data and insights consultants. You might be involved in a project such as: Identify ri",adzuna,fr,,,,
75,562,CDI- Private Marketplace Manager (H/F),"Description Position at Havas Media Dans le cadre du développement du groupe Havas Media France , nous sommes à la recherche d’un Private Marketplace Manager (H/F). Mission Le Private Marketplace Manager est en charge de produire les suivis d’investissements publishers et data Il est en charge de référencer l’ensemble ",adzuna,fr,,,,
75,564,CDI- Private Marketplace Manager (H/F),"Description Dans le cadre du développement du groupe Havas Media France , nous sommes à la recherche d’un Private Marketplace Manager (H/F). Mission Le Private Marketplace Manager est en charge de produire les suivis d’investissements publishers et data Il est en charge de référencer l’ensemble des deals et des PMP Il ",adzuna,fr,,,,
75,608,Solution Owner - Consultant Skywise H/F,"La ligne de service Consulting & Solutions d'Akkodis France renforce ses équipes en région Occitanie et recrute un Solution Owner / Consultant Skywise H/F en CDI à Toulouse. Ce poste s'inscrit dans un contexte technologique exigeant, au coeur des secteurs automobile et aéronautique, et consiste à piloter la conception,",adzuna,fr,,,,
75,618,Head of Data,"The company is an international Health and Fitness app enabling its users to generate revenue whilst on the move through insights, gamification, charity support, and financial incentives programs, making it the app loved and trusted by over 30 millions users worldwide with Millions of $ redistributed to its users and d",adzuna,fr,,,,
75,648,Alternance : ALTERNANCE - Ingénieur(e) Systèmes - Produits Communicants,"Publiée le 28/04/2026 Description de l'employeur LE CLUSTER INGÉNIERIE NORD, QUI SOMMES-NOUS ? Composante de SNCF Voyageurs, l'Ingénierie du Matériel assure une expertise déterminante pour la sécurité, la fiabilité et la performance du matériel roulant. Elle est à l'origine de : · La conception · La réalisation des ess",adzuna,fr,,,,
75,669,Analyste Quantitatif du Risque de Contrepartie H/F,"Risk and Permanent Control (RPC) de CA CIB fait partie de la ligne métier Risques et Contrôles Permanents de Crédit Agricole S.A. La Direction de RPC identifie, analyse, mesure et contrôle les risques de contrepartie, les risques de marché, les risques pays et de portefeuille ainsi que les risques opérationnels. Au sei",adzuna,fr,,,,
75,685,Lead Data Engineer - Hu002FF,"Tu es passionné(e) par les données et tu maîtrises l’art de concevoir des pipelines de données robustes et performants ? Construire des architectures de données scalables, automatiser les flux et guider des équipes techniques t’enthousiasme ? Rejoins Data Factorii en tant que Lead Data Engineer et prends la tête des pr",adzuna,fr,,,,
75,688,Architecte junior REVIT F/H,"Intégré au sein d’une équipe dédiée à des projets industriels, vous participerez activement à toutes les phases de conception des projets. Vos principales missions seront : Modélisation BIM : Concevoir et développer des maquettes numériques 3D complexes sur Revit (phases ESQ, APS, APD, PRO, DCE) Dessin & Technique : Pr",adzuna,fr,,,,
75,717,Alternance : ALTERNANCE - Développeur(euse) informatique embarqué,"Publiée le 10/04/2026 Description de l'employeur LE CLUSTER INGÉNIERIE NORD, QUI SOMMES-NOUS ? Composante de SNCF Voyageurs, l'Ingénierie du Matériel assure une expertise déterminante pour la sécurité, la fiabilité et la performance du matériel roulant. Elle est à l'origine de : · La conception · La réalisation des ess",adzuna,fr,,,,
75,747,Analyste OSINT / CTI - VIGINUM H/F,"Vos missions en quelques mots L’analyste OSINT/CTI H/F sera rattaché(e) au bureau « Analyse de la menace » de la division des Opérations. À ce titre, ses principales missions seront les suivantes : Investigations sur les réseaux sociaux et maîtrise des outils de recherche et d’exploitation ; Investigations sur les infr",adzuna,fr,,,,
75,777,Stage : Stage Data Expert - Colomiers,"Description de l'entreprise S’appuyant sur son savoir-faire des produits complexes de haute technologie, la vocation de CIMPA est de fournir à ses clients un avantage concurrentiel en améliorant l'efficacité opérationnelle tout au long du cycle de vie du produit. Complexité technologique, long cycle de de vie, exigence",adzuna,fr,,,,
75,807,Stage Mars Petcare - Analyste Junior – Solutions Smart Factory (H/F/X) - Septembre 2026,"Job Description: Rejoindre le groupe Mars, c'est choisir plus qu'un stage ou une alternance. Chez Mars, nous croyons qu'une entreprise peut avoir un impact positif sur le monde. Entreprise familiale depuis plus de 100 ans, présente dans plus de 80 pays, Mars est guidée par ses 5 Principes : Qualité, Responsabilité, Mut",adzuna,fr,,,,
75,856,Actuaire Datascientist - F/H (CDI),"Morgan Philips Executive Search est un acteur international en Recrutement de Dirigeants, Cadres et Experts et en Conseil du Talent Management. Nous accompagnons des organisations de toute taille, de tout secteur, internationales ou locales dans l'identification, l'évaluation et la sélection de leurs futurs collaborate",adzuna,fr,,,,
75,895,CTO et Co - fondateur(trice),"Je cherche un partenaire clé dans la construction de l'entreprise Hippocrate Care. En tant que CTO et Co-fondateur(trice) , vous serez le pilier technologique, produit, mais nous serons évidemment amenés à faire plus que les attributions d'un poste classique (recrutement, recherche de financement, communication,...). V",adzuna,fr,,,,
75,897,Alternance : ALTERNANCE - Ingénieur(e) d'Études - Moyens de Test,"Publiée le 25/04/2026 Description de l'employeur LE CLUSTER INGÉNIERIE NORD, QUI SOMMES-NOUS ? Composante de SNCF Voyageurs, l'Ingénierie du Matériel assure une expertise déterminante pour la sécurité, la fiabilité et la performance du matériel roulant. Elle est à l'origine de : · La conception · La réalisation des ess",adzuna,fr,,,,
75,921,Export Control Analyst F/H,"Export Control Analyst F/H Détail de l'offre Informations générales Entité de rattachement Safran est un groupe international de haute technologie opérant dans les domaines de l'aéronautique (propulsion, équipements et intérieurs), de l'espace et de la défense. Sa mission : contribuer durablement à un monde plus sûr, o",adzuna,fr,,,,
75,930,Customer Support Engineer,"Company OverviewKLA is a global leader in diversified electronics for the semiconductor manufacturing ecosystem. Virtually every electronic device in the world is produced using our technologies. No laptop, smartphone, wearable device, voice-controlled gadget, flexible screen, VR device or smart car would have made it ",adzuna,fr,,,,
75,940,Responsable Sécurité des Systèmes d’Information F/H,"Notre client est un acteur du numérique évoluant dans un environnement fortement réglementé, avec des enjeux de sécurité, de qualification et de conformité au cœur de son activité. Dans un contexte de rapprochement opérationnel entre deux entités d’un même groupe, l’entreprise souhaite structurer et renforcer sa gouver",adzuna,fr,,,,
75,973,Alternance : Alternance - Talent Acquisition Associate - Alternance,"Dans le cadre de notre forte croissance, nous sommes à la recherche d’un.e alternant.e ou stagiaire de fin d’études pour collaborer avec notre Talent Acquisition Specialist et recruter les meilleurs profils sur le marché concurrentiel de la data ! Après formation interne à notre méthodologie et à notre offre, tu seras ",adzuna,fr,,,,
75,1028,Constitution de vivier de talents IT F/H,"À propos de CELIOS Cher Candidat F/H, je m'appelle Lucie et je suis ravie que vous ayez vu notre offre. Il n'y a pas de hasard, vous êtes au bon endroit pour découvrir votre prochaine aventure ! Suivez-moi pour vous dire qui nous sommes mais aussi le contenu du poste qui peut vous attendre ! C'est parti ! Le Groupe Cél",adzuna,fr,,,,
75,1038,Data Analyst - 6 Month Internship,"Our Mission Prose is truly custom hair and skin care made-to-order—just for you. Our line of custom products are made by an in-house, Paris-based R&D team of gifted chemists who combine natural ingredients in innovative ways alongside dermatologists, giving consumers clean skin care, hair care and impeccable results. A",adzuna,fr,,,,
75,1046,Research Engineer in Model-Based Engineering for Safety Assurance of Medical Applications H/F,"General information Organisation The French Alternative Energies and Atomic Energy Commission (CEA) is a key player in research, development and innovation in four main areas : • defence and security, • nuclear energy (fission and fusion), • technological research for industry, • fundamental research in the physical sc",adzuna,fr,,,,
